time,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10
30.10.2019 18:26:14,25,25,25,25,26,25,25,26,25,25
30.10.2019 20:07:05,24,24,24,24,25,24,24,25,24,25
30.10.2019 20:37:07,25,24,24,24,25,24,24,25,25,25
30.10.2019 21:07:12,25,25,25,25,26,25,25,26,25,25
30.10.2019 21:37:23,26,25,25,25,26,25,25,26,26,26
30.10.2019 22:07:27,26,25,25,26,26,25,25,26,26,26
30.10.2019 22:37:32,26,25,26,26,27,25,26,27,26,26
30.10.2019 23:27:41,26,25,26,26,26,25,26,26,26,26
30.10.2019 23:47:42,26,25,26,26,26,25,26,26,26,26
31.10.2019 0:07:48,26,25,25,26,26,25,26,26,26,26
31.10.2019 0:17:49,26,25,25,26,26,25,26,26,26,26
31.10.2019 1:28:02,26,25,25,26,26,25,25,26,26,26
31.10.2019 2:28:39,26,25,26,26,26,25,26,26,26,26
31.10.2019 3:38:53,25,25,25,25,26,25,25,26,25,25
31.10.2019 3:48:54,25,25,25,25,25,25,25,25,25,25
31.10.2019 4:08:55,25,25,25,25,26,25,25,26,25,26
31.10.2019 4:49:02,25,25,25,25,26,25,25,26,25,26
31.10.2019 4:59:04,25,25,25,25,26,25,25,26,26,26
31.10.2019 5:19:06,26,25,25,26,26,25,25,26,26,26
31.10.2019 5:39:07,26,25,25,25,26,25,25,26,26,26
31.10.2019 6:09:09,25,25,25,25,26,25,25,26,26,26
31.10.2019 6:59:28,25,25,25,25,26,25,25,26,26,25
31.10.2019 8:50:42,25,25,25,26,25,25,25,26,25,25
31.10.2019 9:30:53,26,25,25,25,26,25,25,26,26,26
31.10.2019 10:00:55,26,26,26,26,27,26,26,26,26,26
31.10.2019 10:20:56,27,26,26,27,27,26,26,27,26,26
31.10.2019 10:30:57,27,27,27,27,27,26,27,27,27,27
31.10.2019 10:50:58,28,27,28,27,28,27,27,28,28,28
31.10.2019 11:11:00,28,28,28,28,29,28,28,29,28,29
31.10.2019 11:51:03,27,27,27,28,28,27,27,28,28,28
31.10.2019 12:01:04,28,28,28,28,29,28,28,29,28,28
31.10.2019 13:01:08,28,27,27,28,28,27,27,28,28,28
31.10.2019 13:11:09,28,27,27,27,28,27,27,28,27,27
31.10.2019 13:31:10,27,27,27,27,28,27,27,27,27,27
31.10.2019 13:41:11,27,26,27,27,28,26,27,27,27,27
31.10.2019 15:21:22,28,27,28,28,29,27,28,29,28,28
31.10.2019 15:51:25,28,27,27,28,27,28,27,28,28,28
31.10.2019 16:01:26,28,27,27,28,28,27,27,28,28,28
31.10.2019 16:31:28,27,26,27,27,28,26,27,27,27,27
31.10.2019 16:41:29,27,26,27,27,27,26,27,27,27,27
31.10.2019 17:21:42,26,26,26,26,27,26,26,27,26,27
31.10.2019 18:01:49,26,25,26,26,26,26,26,26,26,26
31.10.2019 18:51:57,26,26,26,26,27,26,26,27,26,26
31.10.2019 20:12:28,26,26,26,26,27,26,26,27,26,26
31.10.2019 20:22:29,26,26,26,26,27,26,26,27,26,26
31.10.2019 20:42:31,26,26,26,26,27,26,26,27,26,26
31.10.2019 21:02:32,26,26,26,26,27,26,26,27,26,26
31.10.2019 21:32:34,26,26,26,26,27,26,26,27,26,26
31.10.2019 22:02:36,26,26,26,26,26,25,26,26,26,26
31.10.2019 22:22:37,26,25,26,26,26,25,25,26,26,26
31.10.2019 22:42:38,26,25,25,26,26,25,25,26,26,26
31.10.2019 22:52:39,26,25,25,25,26,25,25,26,26,26
31.10.2019 23:12:40,26,25,25,26,26,25,25,26,26,26
31.10.2019 23:32:41,26,25,25,26,26,25,25,26,26,25
01.11.2019 0:02:43,25,25,25,25,26,25,25,26,25,25
01.11.2019 0:22:44,25,25,25,25,26,25,25,26,25,25
01.11.2019 0:42:45,25,25,25,25,26,25,25,26,25,25
01.11.2019 0:52:46,25,25,25,25,25,25,25,26,25,25
01.11.2019 1:12:47,25,25,25,25,25,25,25,26,25,25
01.11.2019 1:32:48,26,25,25,25,26,25,25,26,25,25
01.11.2019 2:02:50,25,25,25,25,25,25,25,26,25,25
01.11.2019 2:22:52,25,25,25,25,25,25,24,26,25,25
01.11.2019 2:42:53,25,25,25,25,25,25,24,25,25,25
01.11.2019 2:52:54,25,25,25,25,25,24,24,25,25,25
01.11.2019 3:12:55,25,24,25,25,25,24,24,25,25,25
01.11.2019 3:32:56,25,25,25,25,25,24,24,25,25,25
01.11.2019 4:02:58,25,25,25,25,25,25,24,25,25,25
01.11.2019 4:22:59,25,24,25,25,25,24,24,25,25,25
01.11.2019 4:43:00,25,24,25,25,25,24,24,25,25,25
01.11.2019 4:53:01,25,24,25,25,25,24,24,25,25,25
01.11.2019 5:13:02,25,24,25,25,25,24,24,25,25,25
01.11.2019 5:43:04,25,24,25,25,25,24,24,25,25,25
01.11.2019 6:13:06,25,24,24,25,25,24,24,25,25,25
01.11.2019 6:33:07,25,24,25,25,25,24,24,25,25,25
01.11.2019 6:53:08,25,24,24,25,25,24,24,25,24,25
01.11.2019 7:03:09,25,24,24,25,25,24,24,25,25,25
01.11.2019 7:23:10,25,24,24,24,25,24,24,25,25,25
01.11.2019 7:43:11,25,24,24,25,25,24,24,25,25,25
01.11.2019 8:13:13,25,25,25,25,26,25,25,26,25,25
01.11.2019 8:33:14,26,25,25,25,26,25,25,26,25,25
01.11.2019 9:03:16,26,25,25,25,26,25,25,26,26,26
01.11.2019 9:33:18,26,25,26,26,26,26,26,26,26,26
01.11.2019 9:53:19,27,26,26,26,27,26,26,27,26,27
01.11.2019 10:03:20,27,26,27,27,27,26,26,27,27,27
01.11.2019 10:23:21,27,27,27,27,28,27,27,27,27,27
01.11.2019 10:53:23,28,28,28,28,29,28,28,29,28,28
01.11.2019 11:23:25,29,28,29,29,29,28,29,29,29,29
01.11.2019 11:53:27,29,29,29,29,29,28,29,29,29,29
01.11.2019 12:03:28,29,29,29,29,29,28,29,29,29,29
01.11.2019 12:23:29,30,29,29,29,29,29,29,30,29,29
01.11.2019 13:13:38,30,29,29,29,30,29,29,30,29,30
01.11.2019 13:33:39,30,29,29,29,30,29,29,30,29,29
01.11.2019 13:53:41,29,29,29,29,30,28,29,29,29,29
01.11.2019 14:03:42,29,29,29,29,29,28,29,29,29,29
01.11.2019 14:33:44,29,28,29,29,29,28,29,29,29,29
01.11.2019 14:43:45,29,28,29,29,29,28,28,29,29,28
01.11.2019 14:53:46,29,28,28,29,29,28,28,29,29,29
01.11.2019 15:03:47,29,28,28,29,29,28,28,29,29,29
01.11.2019 15:33:49,28,27,28,28,28,27,28,29,28,28
01.11.2019 15:43:50,27,27,27,27,28,27,27,28,28,28
01.11.2019 16:03:51,27,26,26,27,27,26,27,27,27,27
01.11.2019 16:13:52,27,26,26,26,27,26,27,27,27,27
01.11.2019 16:33:54,27,26,26,26,27,26,26,27,26,27
01.11.2019 17:54:02,26,25,25,25,26,25,25,26,26,26
01.11.2019 18:24:04,26,26,26,26,27,26,26,27,26,26
01.11.2019 18:34:05,26,26,26,26,27,26,26,27,26,27
01.11.2019 19:14:12,27,26,26,27,27,26,26,27,27,27
01.11.2019 19:54:17,26,25,25,25,26,25,25,26,26,26
01.11.2019 20:24:19,25,25,25,25,26,25,25,26,25,25
01.11.2019 20:34:20,25,25,25,25,26,25,25,26,25,25
01.11.2019 20:54:26,25,25,25,26,25,25,25,26,25,25
01.11.2019 21:04:27,25,25,25,25,25,24,25,25,25,25
01.11.2019 21:54:33,25,24,24,24,25,24,24,25,24,25
01.11.2019 22:14:34,25,24,24,24,24,24,24,25,24,24
01.11.2019 22:44:36,24,24,24,24,24,24,24,25,24,24
01.11.2019 23:04:37,24,24,24,24,24,24,23,25,24,24
01.11.2019 23:34:39,24,23,23,24,24,23,23,24,24,24
01.11.2019 23:44:40,24,23,23,23,24,23,23,24,24,24
02.11.2019 0:14:42,24,23,23,23,23,23,23,24,24,24
02.11.2019 0:34:43,23,23,23,23,23,23,23,24,23,23
02.11.2019 0:44:44,23,23,23,23,23,23,23,24,23,23
02.11.2019 1:04:45,23,23,23,23,23,23,23,24,23,23
02.11.2019 2:04:49,23,22,22,23,23,22,22,23,23,23
02.11.2019 2:24:50,23,22,22,22,23,22,22,23,23,23
02.11.2019 2:44:51,23,22,22,22,23,22,22,23,23,23
02.11.2019 2:54:52,23,22,22,22,22,22,22,23,23,23
02.11.2019 3:14:53,23,22,22,22,23,22,22,23,22,23
02.11.2019 3:34:54,23,22,22,22,23,22,22,23,22,23
02.11.2019 3:44:55,23,22,22,22,23,22,22,23,22,22
02.11.2019 4:04:56,23,22,22,22,23,22,22,23,22,22
02.11.2019 4:24:57,23,22,22,22,23,22,22,23,22,22
02.11.2019 4:34:58,23,22,22,22,22,22,22,23,22,22
02.11.2019 4:54:59,23,22,22,22,22,22,22,23,22,22
02.11.2019 5:15:00,22,22,22,22,22,22,22,23,22,22
02.11.2019 5:45:02,22,22,22,22,22,22,22,23,22,22
02.11.2019 6:05:03,22,22,22,22,22,22,22,22,22,22
02.11.2019 6:35:05,22,22,22,22,22,22,22,22,22,22
02.11.2019 6:55:06,22,22,22,22,22,22,21,22,22,22
02.11.2019 7:25:08,22,22,22,22,22,21,21,22,22,22
02.11.2019 7:55:10,22,21,21,22,22,21,21,22,22,22
02.11.2019 8:15:11,22,21,21,22,22,21,21,22,22,22
02.11.2019 8:45:13,22,21,22,22,22,21,21,22,22,22
02.11.2019 8:55:14,22,21,22,22,22,21,21,22,22,22
02.11.2019 9:25:16,23,22,22,23,23,22,22,23,23,23
02.11.2019 9:55:18,23,22,23,23,23,22,22,23,23,23
02.11.2019 10:25:20,23,23,23,23,24,23,23,24,23,23
02.11.2019 10:45:21,24,23,23,23,24,23,23,24,23,23
02.11.2019 11:15:23,24,23,23,23,24,23,23,24,23,23
02.11.2019 11:45:25,24,23,23,23,24,23,23,24,23,23
02.11.2019 12:15:27,24,23,23,24,24,23,23,24,23,23
02.11.2019 12:45:29,23,22,23,23,23,22,22,23,23,23
02.11.2019 13:15:31,24,24,24,24,25,23,24,24,24,24
02.11.2019 14:15:39,24,24,24,24,25,24,24,25,24,25
02.11.2019 14:35:40,24,24,24,24,25,24,24,25,24,24
02.11.2019 14:45:41,24,24,24,24,25,24,24,25,24,24
02.11.2019 15:15:43,24,23,24,24,24,23,24,24,24,24
02.11.2019 15:45:46,25,24,24,25,25,24,24,25,24,25
02.11.2019 16:15:48,25,24,24,24,25,24,24,25,25,25
02.11.2019 16:35:50,25,24,24,25,25,24,24,25,25,25
02.11.2019 17:05:52,25,24,24,24,25,24,24,25,25,25
02.11.2019 17:15:53,25,24,24,25,25,24,25,25,25,25
02.11.2019 17:35:54,25,24,25,25,25,24,25,25,25,25
02.11.2019 18:05:56,25,24,25,25,26,25,25,25,25,25
02.11.2019 19:06:05,25,24,24,24,25,24,24,25,25,25
